title,text,source,label
"Former NBA Star, Coach Damon Jones Plans To Plead Guilty In Mafia-Related Gambling Scheme: REPORT","Former NBA Star, Coach Damon Jones Plans To Plead Guilty In Mafia-Related Gambling Scheme: REPORT Jones has a charge-of-plea hearing related to the sports gambling case set for Apr. 28",CheckYourFact,2
Trump Reveals His Pick For Next CDC Director,Trump Reveals His Pick For Next CDC Director 'will do a TREMENDOUS job leading the CDC',CheckYourFact,2
"Khadi And Village Industries ... vs Nitish Kumar And Anr . on 10 October , 2023","Khadi And Village Industries ... vs Nitish Kumar And Anr . on 10 October , 2023",indiankanoon.org,1
Fake picture of human chain around Iranian power plant circulates online,"Fake picture of human chain around Iranian power plant circulates online While there have been reports of Iranians forming human chains around major infrastructure, a widely shared image apparently showing the Bushehr Nuclear Power Plant was made with AI.",FullFact,2
There Is No Historic Defeat for Civil Rights,There Is No Historic Defeat for Civil Rights David responds to Trump criticism.,The Dispatch,1
Pakistan-based LeT's co-founder injured in attack in Lahore,"Pakistan-based LeT's co-founder injured in attack in Lahore Two unidentified armed men riding a motorcycle opened fire on the white car in which Ghazi and Hamza were travelling at Peco Road in Lahore near the TV channel's office. In the attack, Hamza suffered bullet injuries while Ghazi remained unhurt,"" says police",The Hindu,2
GOP Rep. Ralph Norman Who Warned Months Ago About National Debt Justifies Iran War Costs,GOP Rep. Ralph Norman Who Warned Months Ago About National Debt Justifies Iran War Costs 'concerned about the debt at every level',CheckYourFact,2
Meet the man from Kozhikode who grew a bamboo forest,"Meet the man from Kozhikode who grew a bamboo forest How Damodaran Mukkam, a former landscaper, planted a bamboo forest on the banks of the Iruvazhanji river",The Hindu,2
Man charged with attempted murder over attack on home of OpenAI's Sam Altman,"Man charged with attempted murder over attack on home of OpenAI's Sam Altman The Texas man, who also faces federal felony charges, allegedly had documents advocating for violence against AI executives.",BBC Technology,2
REPORT: UK Prime Minister Claims Officials Hid Former Ambassador’s Epstein Ties From Him,REPORT: UK Prime Minister Claims Officials Hid Former Ambassador’s Epstein Ties From Him officials allegedly failed to disclose that Mandelson’s clearance had been granted despite objections,CheckYourFact,2
"UFC Vegas 115 Start Time , Full Fight Card Details","UFC Vegas 115 Start Time , Full Fight Card Details",mmamania.com,2
American Election Predictions : It Apocalypse in the united states,American Election Predictions : It Apocalypse in the united states,thedailyblog.co.nz,1
"Silence in legislations on maintaining proportionality makes TDP reach out to Home Minister, Law Minister","Silence in legislations on maintaining proportionality makes TDP reach out to Home Minister, Law Minister TDP wanted necessary amendments to clear the ambiguity, but with Home Minister Shah’s assurance in Lok Sabha on the issue, the party unlikely to press the issue further",The Hindu,2
FACT CHECK : Did The U . S . Military Arrest A Jihadist Infiltrator ?,FACT CHECK : Did The U . S . Military Arrest A Jihadist Infiltrator ?,checkyourfact.com,2
ICE detainees’ deaths raise questions about news coverage of Asian communities,"ICE detainees’ deaths raise questions about news coverage of Asian communities This column is part of the Indianapolis Public Editor project, a pilot program designed to test whether the presence of a public editor who analyzes local coverage can elevate audience trust [&#8230;] 
 The post  ICE detainees’ deaths raise questions about news coverage of Asian communities  appeared first on  Poynter .",Poynter,1
Weekly quiz: What did Trump say about the Pope?,Weekly quiz: What did Trump say about the Pope? How much attention did you pay to what happened in the world over the past seven days?,BBC News,2
"Footage of Palestinian journalist dying from 2014 , not current Israel - Hamas war","Footage of Palestinian journalist dying from 2014 , not current Israel - Hamas war",news.yahoo.com,2
NBC Breaks Into Olympics to Cover Latest On Nancy Guthrie,NBC Breaks Into Olympics to Cover Latest On Nancy Guthrie,mediaite.com,2
Commission Advances Trump’s Legacy Arch For Nation’s Capital,Commission Advances Trump’s Legacy Arch For Nation’s Capital 'the United States Triumphal Arch will be a project of which all Americans will be proud',CheckYourFact,2
Fake photo of damaged US base in Kuwait shared online,Fake photo of damaged US base in Kuwait shared online A picture circulating on social media with claims it depicts the aftermath of Iranian strikes on an American base isn’t genuine.,FullFact,2
"FACT CHECK : No , Navy JAG Did Not Execute FEMA Director Deanne Criswell","FACT CHECK : No , Navy JAG Did Not Execute FEMA Director Deanne Criswell",checkyourfact.com,2
How Israel’s war upended daily life in Lebanon,How Israel’s war upended daily life in Lebanon People in Beirut describe how the Israel war has turned their lives upside down.,Al Jazeera,2
"the lady vanishes , more than ONE MILLION DEAD in yuckraine probably by now .....","the lady vanishes , more than ONE MILLION DEAD in yuckraine probably by now .....",yourdemocracy.net,1
"Chelsea vs Manchester United: Premier League – teams, lineups, start","Chelsea vs Manchester United: Premier League – teams, lineups, start Chelsea could blow the race for UEFA Champions League qualification wide open if they beat Man Utd in EPL on Saturday.",Al Jazeera,2
Is Trump being added to Mount Rushmore? Here's the stone-cold truth,"Is Trump being added to Mount Rushmore? Here's the stone-cold truth While this rumor was an April Fools' joke in 2026, the idea has come up more than once during Trump's time in office.",Snopes Fact Checks,2
Ben Shapiro never shared posts about 'hot' and 'beautiful' sister. They're fake,Ben Shapiro never shared posts about 'hot' and 'beautiful' sister. They're fake Online users have for many years shared inauthentic post screenshots that seem to show the conservative commentator talking about one of his siblings.,Snopes Fact Checks,2
Pittsburgh Post-Gazette saved from closure,"Pittsburgh Post-Gazette saved from closure Good morning. The sports media controversy involving The Athletic’s Dianna Russini came to a stunning conclusion on Tuesday. But first, major news involving The Pittsburgh Post-Gazette, which was moments away [&#8230;] 
 The post  Pittsburgh Post-Gazette saved from closure  appeared first on  Poynter .",Poynter,1
"FACT CHECK : Contrary To Threads Post , Jack Smith Has Not Been Fired As Of Nov . 6","FACT CHECK : Contrary To Threads Post , Jack Smith Has Not Been Fired As Of Nov . 6",checkyourfact.com,2
"CNN reported on 'online rape academy,' but '62M men' figure misrepresents findings","CNN reported on 'online rape academy,' but '62M men' figure misrepresents findings Users shared the claim in April 2026 following a months-long CNN investigation into the dark online world of drugging and sexually assaulting women.",Snopes Fact Checks,2
Don't fall for claim Pope Leo XIV threatened to excommunicate Vance from Catholic Church,Don't fall for claim Pope Leo XIV threatened to excommunicate Vance from Catholic Church The alleged threat attributed to the pope spread amid increasing tensions between the United States and the Vatican.,Snopes Fact Checks,2
Episode 30 : Election Integrity Under Fire : Fraud Claims and Double Standards in Shasta County – anewscafe . com,Episode 30 : Election Integrity Under Fire : Fraud Claims and Double Standards in Shasta County – anewscafe . com,anewscafe.com,1
Dog walker beaten with hockey stick by top horse trainer says his jail term is too soft,"Dog walker beaten with hockey stick by top horse trainer says his jail term is too soft Martin Dandridge, 72, had his arm broken in the attack, leaving him with “ongoing pain” in his forearm.",BBC News,2
Badenoch : Reeves lied to Britain to save her job,Badenoch : Reeves lied to Britain to save her job,aol.co.uk,1
"Latest News on Top News : Get Top News News Updates along with Photos , Videos and Latest News Headlines","Latest News on Top News : Get Top News News Updates along with Photos , Videos and Latest News Headlines",indianexpress.com,2
Trump Fumbles the Facts with Farmers,"Trump Fumbles the Facts with Farmers In a speech to what he called ""the single largest gathering of American farmers that the White House has ... ever had,"" President Donald Trump distorted the facts on the estate tax, soybean exports and more. 
 The post  Trump Fumbles the Facts with Farmers  appeared first on  FactCheck.org .",FactCheck.org,2
Delimitation will turn out to be 'political demonetisation': Shashi Tharoor in Lok Sabha,"Delimitation will turn out to be 'political demonetisation': Shashi Tharoor in Lok Sabha Women's reservation, he said, is ready for harvest and can and should be implemented immediately based on existing parliamentary strength",The Hindu,2
The White House Correspondents’ Dinner has always been a cringefest. Trump just makes it obvious.,"The White House Correspondents’ Dinner has always been a cringefest. Trump just makes it obvious. The certain awkwardness of President Donald Trump gloating about his presidency in front of a silent press corps at this year’s White House Correspondents’ Dinner — a gala intended to [&#8230;] 
 The post  The White House Correspondents’ Dinner has always been a cringefest. Trump just makes it obvious.  appeared first on  Poynter .",Poynter,2
Ugandan president Museveni did not ask Kenyan counterpart to deal with opposition leaders ‘with some lethal force’ – graphics fabricated,"Ugandan president Museveni did not ask Kenyan counterpart to deal with opposition leaders ‘with some lethal force’ – graphics fabricated Ugandan president Yoweri Museveni has asked Kenyan president William Ruto to deal with opposition leaders “with some lethal force”,&nbsp;according to graphics&nbsp;",Africa Check,2
Pedro Pascal v Pedro Piscal: actor in legal battle with Chilean spirit brand,Pedro Pascal v Pedro Piscal: actor in legal battle with Chilean spirit brand Pedro Piscal pisco is latest Chilean brand to resemble a Hollywood name – and others have fought off the lawsuits  The actor  Pedro Pascal  is waging a legal battle against a Chilean pisco merchant who has chosen a cheeky name for his brand of the country’s national spirit: Pedro Piscal.  David Herrera registered the brand name with a Chilean commercial regulator in 2023 and began selling his pisco in off-licences and restaurants.   Continue reading...,The Guardian World,2
An Attack Over ICE in the Massachusetts Democratic Senate Race,"An Attack Over ICE in the Massachusetts Democratic Senate Race An online ad attacks Rep. Seth Moulton, a Democratic candidate for U.S. Senate in Massachusetts, for not being sufficiently progressive because of past policy positions. But it also misleadingly claims that Moulton, a critic of U.S. Immigration and Customs Enforcement, ""thanked ICE as they were terrorizing our communities and then killed citizens."" 
 The post  An Attack Over ICE in the Massachusetts Democratic Senate Race  appeared first on  FactCheck.org .",FactCheck.org,2
Altered photo used to falsely claim former Kenyan president Uhuru Kenyatta ‘confined to a wheelchair’,Altered photo used to falsely claim former Kenyan president Uhuru Kenyatta ‘confined to a wheelchair’ An&nbsp;image appearing to&nbsp;show former Kenyan president Uhuru Kenyatta&nbsp;,Africa Check,2
Australia's most decorated living soldier released on bail over war crime charges,Australia's most decorated living soldier released on bail over war crime charges Lawyers argued that Ben Roberts-Smith wouldn't be able to defend himself properly from prison.,BBC News,2
The U.S. Treasury Didn’t Declare the Country ‘Insolvent’,"The U.S. Treasury Didn’t Declare the Country ‘Insolvent’ Q:&#160;I read this on FB. Is it true? The U.S. Treasury just declared the U.S government is&#160;insolvent. 
 A:&#160;No. That’s the conclusion of an opinion piece that cited a Treasury report showing the government’s liabilities outweigh its assets. But that’s been the case for decades, and unlike an insolvent business, the government can levy taxes. 
    
 FULL ANSWER 
 Two economists &#8212; Steve Hanke at Johns Hopkins University and David Walker, a former comptroller general of the U.S. 
 The post  The U.S. Treasury Didn&#8217;t Declare the Country &#8216;Insolvent&#8217;  appeared first on  FactCheck.org .",FactCheck.org,2
Watch out for altered image of Ghislaine Maxwell grabbing Melania Trump's chest,Watch out for altered image of Ghislaine Maxwell grabbing Melania Trump's chest The image of Jeffrey Epstein’s associate at a party with the Trumps once again spread online following the first lady’s surprise April 2026 statement.,Snopes Fact Checks,2
"Secession for you, prison in Russia: Moscow’s selective love for self-determination","Secession for you, prison in Russia: Moscow’s selective love for self-determination From Texas to Alberta to Catalonia, the Kremlin amplifies separatist causes abroad while jailing those who voice similar ideas inside Russia. 
 The post  Secession for you, prison in Russia: Moscow’s selective love for self-determination  appeared first on  EUvsDisinfo .",EUvsDisinfo,2
Most Geoscientists and Engineers are Global Warming skeptics « JoNova,Most Geoscientists and Engineers are Global Warming skeptics « JoNova,joannenova.com.au,1
Old footage from China shared with false claims it shows attack on Israeli power plant,Old footage from China shared with false claims it shows attack on Israeli power plant A video shared with claims it shows an Iranian attack on a power plant in Haifa actually dates back to a 2015 chemical fire emergency response drill in China.,FullFact,2
Democrat LA Mayor’s Far-Left Opponent Votes Against Cleaning Out Homeless Camps,Democrat LA Mayor’s Far-Left Opponent Votes Against Cleaning Out Homeless Camps 'I watched a guy get shot and killed across the street',CheckYourFact,2
Top five takeaways from Homeland Security budget hearings,"Top five takeaways from Homeland Security budget hearings Lawmakers have been in a stalemate for over 60 days about funding the entire department, which includes agencies that oversee immigration enforcement, disaster relief, cybersecurity and the U.S. Coast Guard.",NPR News,2
Chris Mason: Mandelson nightmare haunts Starmer again,"Chris Mason: Mandelson nightmare haunts Starmer again The prime minister is believed to be absolutely furious over the handling of Lord Mandelson's vetting, Chris Mason writes.",BBC News,2
"Pope Leo XIV does not support nuclear weapons in Iran, or anywhere, despite Trump’s claim","Pope Leo XIV does not support nuclear weapons in Iran, or anywhere, despite Trump’s claim President Donald Trump issued a flurry of statements Sunday against Pope Leo XIV, saying in part that the U.S.-born pope supports Iran having a nuclear weapon. Trump on Truth Social characterized [&#8230;] 
 The post  Pope Leo XIV does not support nuclear weapons in Iran, or anywhere, despite Trump’s claim  appeared first on  Poynter .",Poynter,2
False claim that Bill Gates said society will exclude resisters of mRNA  tsunami,False claim that Bill Gates said society will exclude resisters of mRNA  tsunami,news.yahoo.com,2
"Acting ICE director Todd Lyons will step down at the end of May, says DHS","Acting ICE director Todd Lyons will step down at the end of May, says DHS Lyons, who led agency since March 2025, to resign after turbulent year carrying out Trump’s immigration agenda  Todd Lyons, the acting director of US Immigration and Customs Enforcement (ICE), is stepping down after a turbulent year carrying out Donald Trump’s immigration agenda.  Lyons, who has been leading the agency since March 2025, will resign at the end of May and move to the private sector, Markwayne ​Mullin, the Department of Homeland Security secretary,  said  in a statement on Thursday.   Continue reading...",The Guardian World,2
‘Trump forced Israel into a ceasefire’ with Lebanon,"‘Trump forced Israel into a ceasefire’ with Lebanon Abed Abou Shhadeh, a political commentator in Israel, says the ceasefire between Israel and Lebanon is ‘problematic&#039;.",Al Jazeera,2
"Is this real photo of Israeli settler, Palestinian woman on Italian magazine cover?","Is this real photo of Israeli settler, Palestinian woman on Italian magazine cover? Israel's ambassador to Italy accused the magazine, L'Espresso, of publishing a manipulated image.",Snopes Fact Checks,2
Ignore fake graphic falsely claiming Kenya exams boss David Njengere said there’s no money to pay examiners,Ignore fake graphic falsely claiming Kenya exams boss David Njengere said there’s no money to pay examiners A&nbsp;graphic circulating on Facebook claims that&nbsp;Kenya National Examinations Council (KNEC) chief executive&nbsp;,Africa Check,2
Americans Paid Billions this Tax Day—But Not to the Treasury,Americans Paid Billions this Tax Day—But Not to the Treasury The hidden costs of an unnecessarily complex tax code.,The Dispatch,1
"Ex-Virginia Lt. Governor kills wife and himself in murder-suicide, police say","Ex-Virginia Lt. Governor kills wife and himself in murder-suicide, police say Investigators say Justin Fairfax shot his wife, Cerina, multiple times before turning the gun on himself.",BBC World,2
The Papers: 'Starmer in peril' and 'Gunners hero dead',The Papers: 'Starmer in peril' and 'Gunners hero dead' Calls for PM to resign over Mandelson vetting and ex-Arsenal goalie's 'train horror' death leads the papers.,BBC News,2
Analyzing textbook graph showing Trump as ideologically similar to Hitler,Analyzing textbook graph showing Trump as ideologically similar to Hitler The textbook asks readers to consider if they agree with the placement of 14 political figures on a graph based on their economic and social policies.,Snopes Fact Checks,2
Rising value of Pokémon cards sparks smash and grab crime spree,Rising value of Pokémon cards sparks smash and grab crime spree Small shops across the UK are being targeted by thieves stealing collectibles worth thousands of pounds.,BBC News,2
"FACT CHECK : No , The Harris Campaign Did Not Post A Tweet Accusing A Conservative Media Outlet Of Racism","FACT CHECK : No , The Harris Campaign Did Not Post A Tweet Accusing A Conservative Media Outlet Of Racism",checkyourfact.com,2
Artemis commander tells BBC about 'powerful' moment crater named after his late wife,Artemis commander tells BBC about 'powerful' moment crater named after his late wife Reid Wiseman’s two daughters were in Nasa’s mission control room for the naming of the “Carroll” crater in honour of the commander’s late wife.,BBC News,2
Did Bill Clinton criticize Trump's comments about Pope Leo XIV? Watch out for fake audio,Did Bill Clinton criticize Trump's comments about Pope Leo XIV? Watch out for fake audio A YouTube user shared the alleged audio in a lengthy video following President Trump's Truth Social post criticizing Pope Leo XIV.,Snopes Fact Checks,2
Posts claim Bob Seger is fighting cancer. We set the record straight,"Posts claim Bob Seger is fighting cancer. We set the record straight A Facebook page dedicated to sharing false, AI-generated stories about the rock musician has diagnosed Seger with cancer many times before.",Snopes Fact Checks,2
Margaret Brennan shows how to press for answers on a war with no clear plan,"Margaret Brennan shows how to press for answers on a war with no clear plan This is The Poynter Report, your daily guide to the news about news. Subscribe to get it in your inbox every weekday. After a marathon negotiation session, a deal to [&#8230;] 
 The post  Margaret Brennan shows how to press for answers on a war with no clear plan  appeared first on  Poynter .",Poynter,1
Russia targets elections in Hungary and Bulgaria,"Russia targets elections in Hungary and Bulgaria Pro-Kremlin narratives targeted elections in Hungary and Bulgaria, spread nuclear fear claims, and framed EU support to Ukraine as prolonging the war. 
 The post  Russia targets elections in Hungary and Bulgaria  appeared first on  EUvsDisinfo .",EUvsDisinfo,2
FACT CHECK : Did Joe Biden Announce He Will Run For President Again In 2028 ?,FACT CHECK : Did Joe Biden Announce He Will Run For President Again In 2028 ?,checkyourfact.com,2
"The Kremlin points at Ukraine as a threat for the Baltic states, and accuses the EU with meddling in upcoming elections","The Kremlin points at Ukraine as a threat for the Baltic states, and accuses the EU with meddling in upcoming elections Pro-Kremlin disinformation campaigns falsely depict Ukraine as a nuclear threat, target EU elections, and push for lifting sanctions on Russian energy—aiming to weaken Western unity and distort public debate. 
 The post  The Kremlin points at Ukraine as a threat for the Baltic states, and accuses the EU with meddling in upcoming elections  appeared first on  EUvsDisinfo .",EUvsDisinfo,2
"FACT CHECK : No , Bill Gates Did Not Order The Government To Replace Real Foods With Genetically Modified Ones","FACT CHECK : No , Bill Gates Did Not Order The Government To Replace Real Foods With Genetically Modified Ones",checkyourfact.com,2
U.S. cloud dominance a risk to European security: Report,"U.S. cloud dominance a risk to European security: Report National security systems in 23 of the 28 countries studied ""seem to rely on US tech"", researchers found after looking at EU member states and Britain",The Hindu,2
Trump Links Biden’s Ukraine Aid to Pentagon’s Iran War Funding Request,"Trump Links Biden’s Ukraine Aid to Pentagon’s Iran War Funding Request With the Pentagon potentially seeking a $200 billion supplemental package to fund the ongoing war with Iran, President Donald Trump defended that figure in part by saying U.S. ammunition ""was taken down by giving so much to Ukraine."" He then exaggerated the amount of aid to Ukraine and falsely said that former President Joe Biden ""didn't rebuild anything"" in the defense stockpile. 
 The post  Trump Links Biden&#8217;s Ukraine Aid to Pentagon&#8217;s Iran War Funding Request  appeared first on  FactCheck.org .",FactCheck.org,2
"FACT CHECK : Have Kroger , Food Lion , And Publix Announced A 4 % Price Cut Following The 2024 Election ?","FACT CHECK : Have Kroger , Food Lion , And Publix Announced A 4 % Price Cut Following The 2024 Election ?",checkyourfact.com,2
FactChecking Trump’s Prime-Time Address on Iran,"FactChecking Trump’s Prime-Time Address on Iran A month after the U.S. and Israel launched airstrikes on Iran, President Donald Trump addressed the nation in a prime-time speech on April 1, saying the military operation was ""getting very close"" to completing its mission. Trump repeated some false and questionable claims we've written about before. 
 The post  FactChecking Trump&#8217;s Prime-Time Address on Iran  appeared first on  FactCheck.org .",FactCheck.org,2
Image of Melania Trump kissing Epstein isn't what it seems,"Image of Melania Trump kissing Epstein isn't what it seems The U.S. first lady addressed such fake images during an April 2026 statement, warning people to ""be cautious about what you believe.""",Snopes Fact Checks,2
"Katie Hobbs took a day trip to DC , she didnt resign as Arizona governor","Katie Hobbs took a day trip to DC , she didnt resign as Arizona governor",news.yahoo.com,2
FACT CHECK : Does This Video Show Protestors Chant  We Need Trump  During A Biden Rally ?,FACT CHECK : Does This Video Show Protestors Chant  We Need Trump  During A Biden Rally ?,checkyourfact.com,2
FACT CHECK : Video Purporting To Be Evidence Hillary Clinton Is A Reptile Is Digitally Altered,FACT CHECK : Video Purporting To Be Evidence Hillary Clinton Is A Reptile Is Digitally Altered,checkyourfact.com,2
Watch: How is the US Navy enforcing blockade amid Hormuz deadlock,"Watch: How is the US Navy enforcing blockade amid Hormuz deadlock US Navy forces, aboard the USS Michael Murphy, diverted a merchant vessel in the Gulf of Oman to enforce restrictions on Iran's maritime routes. This operation, involving over 10,000 personnel and multiple naval assets, aims to sustain maritime enforcement in regional waters.",Times of India,2
The Hidden Challenges of Renewable Energy,The Hidden Challenges of Renewable Energy Solar panels and wind turbines are cheap. So why are we facing an electricity supply shortage?,The Dispatch,1
Can the U.S. Tax Code Be Simplified?,Can the U.S. Tax Code Be Simplified? Plus: Mayor Mamdani's attempt to tax the rich.,The Dispatch,1
FACT CHECK : Are Six States Including California Banning The Sale Of RVs ?,FACT CHECK : Are Six States Including California Banning The Sale Of RVs ?,checkyourfact.com,2
MacBook Air M5 review: Apple’s best consumer laptop speeds up,"MacBook Air M5 review: Apple’s best consumer laptop speeds up Chip upgrade brings pro-level power, long battery life and plenty of storage, but the Air now faces real competition  Apple’s latest MacBook Air is its most powerful yet, comes with double the starting storage and is better than ever for getting work done and as the benchmark for a consumer laptop. But this year the new lower-cost MacBook Neo has muddied the waters.  The M5 MacBook Air starts at £1,099 (€1,199/$1,099/A$1,799) for the 13in version, which is £100 or equivalent more than last year’s  excellent M4 version , but comes with at least 512GB of storage. It sits above the £599  MacBook Neo  and below the £1,699 M5 MacBook Pro, making the Air Apple’s mid-range machine.   Screen:  13.6in LCD (2560x1600; 224 ppi) True Tone   Processor:  Apple M5 with eight or 10-core GPU   RAM:  16, 24 or 32GB   Storage:  512GB, 1, 2 or 4TB SSD   Operating system:  macOS 26 Tahoe   Camera:  12MP centre stage   Connectivity:  wifi 7, Bluetooth 6, 2x Thunderbolt/USB 4, headphones   Dimensions:  215 x 304.1 x 11.3mm   Weight:  1.23kg   Continue reading...",The Guardian Tech,2
FACT CHECK : Old photos misrepresented as  earthquake light in Surigao del Sur,FACT CHECK : Old photos misrepresented as  earthquake light in Surigao del Sur,rappler.com,2
What we learned from a failed Nota News experiment,"What we learned from a failed Nota News experiment Last fall, Nota launched a small-scale experiment: 11 hyperlocal news sites in counties with limited local coverage. We were not marketing the sites to readers, but they were publicly accessible. [&#8230;] 
 The post  What we learned from a failed Nota News experiment  appeared first on  Poynter .",Poynter,2
FACT CHECK : Did The Red Cross Report That Conservative Donations Outweigh Liberal Donations By Over 78 %?,FACT CHECK : Did The Red Cross Report That Conservative Donations Outweigh Liberal Donations By Over 78 %?,checkyourfact.com,2
Netflix co-founder Reed Hastings to leave streaming service,"Netflix co-founder Reed Hastings to leave streaming service Chair’s decision to not seek re-election ‘not as a result of any disagreement’, company says in filing  Reed Hastings, the Netflix chair, is leaving the streaming service he co-founded nearly 30 years ago as the company regains its footing after losing out on a $72bn (£53bn) deal for Warner Bros Discovery.  In a 14-page letter to investors released on Thursday, Netflix said Hastings would not stand for re-election at its annual meeting in June and planned to focus on philanthropy and other pursuits.   Continue reading...",The Guardian World,2
"We Are America, and We Play Rock ’n’ Roll","We Are America, and We Play Rock ’n’ Roll The music popularized by Elvis Presley represents freedom the world over.",The Dispatch,1
DOJ Reportedly Appealing Ruling That Limits Feds’ Ability To Use Notorious Spy Tool,DOJ Reportedly Appealing Ruling That Limits Feds’ Ability To Use Notorious Spy Tool Trump urges Republicans to renew,CheckYourFact,2
"How does Wikipedia in Arabic spread misinformation , bigotry , and bias ?","How does Wikipedia in Arabic spread misinformation , bigotry , and bias ?",jpost.com,1
"JAMES CARTER: Congress Has a Plan. Several, Actually","JAMES CARTER: Congress Has a Plan. Several, Actually the larger test.",CheckYourFact,2
South African politician Julius Malema given five-year jail term for gun offence,"South African politician Julius Malema given five-year jail term for gun offence Leader of leftwing Economic Freedom Fighters was convicted last year for firing rifle in the air at 2018 rally  The South African leftwing politician  Julius Malema  has been sentenced to five years in prison for firing a rifle in the air at a political rally in 2018.  Lawyers for the leader of the Economic Freedom Fighters, South Africa’s fourth largest political party, immediately appealed, and Malema will remain free while the appeal proceedings are under way.      Continue reading...",The Guardian World,2
FACT CHECK : Did Sadiq Khan Say Farmers Protesting In The united kingdom Is  Another Example Of Racism ?,FACT CHECK : Did Sadiq Khan Say Farmers Protesting In The united kingdom Is  Another Example Of Racism ?,checkyourfact.com,2
Iran war: What is happening on day 49 of the US-Iran conflict?,"Iran war: What is happening on day 49 of the US-Iran conflict? Celebrations in Lebanon as a 10-day ceasefire begins, opening the door to talks on a longer-term Israel-Lebanon deal.",Al Jazeera,2
Student journalists may produce a quarter million bylines a year. Here’s what that looks like,"Student journalists may produce a quarter million bylines a year. Here’s what that looks like This article was originally published in the Student Press Report, a national news desk covering student media and journalism education in higher ed. At Carnegie Mellon University, the Arm Wrestling [&#8230;] 
 The post  Student journalists may produce a quarter million bylines a year. Here’s what that looks like  appeared first on  Poynter .",Poynter,1
